"Timestamp","¿Con qué frecuencia limpias tu hogar?","¿Cuál es tu área favorita para limpiar en casa?","¿Qué producto de limpieza usas con más frecuencia actualmente?","¿Qué aspectos valoras en un producto de limpieza?","¿Qué características te gustaría ver en un nuevo producto de limpieza?","¿Tienes alguna preferencia específica en cuanto a la forma de aplicación?","¿Cuál es tu aroma preferido para productos de limpieza?","¿Prefieres productos de limpieza en envases reciclables?","¿Te gustaría que el producto fuera multiusos o específico para una tarea particular?","¿Cuál sería un rango de precio adecuado para un producto de limpieza de calidad?","¿Qué tamaño de envase encuentras más conveniente para tu uso regular?","¿Utilizas productos de limpieza específicos para áreas exteriores?","¿Tienes alguna sugerencia o preferencia adicional para mejorar la experiencia de uso del producto?"
"2024-01-31 21:20:00","Diariamente","Baño","Otro","Precio","Desinfectante, Aroma fresco","Rociador","Pino","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 21:25:00","Mensualmente","Sala","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Toallitas","Cítricos","No","Multiusos","$15 - $20","Grande","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 21:30:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Frescura del océano","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 21:35:00","Semanalmente","Cocina","Marca","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Cítricos","No","Específico","$10 - $15","Mediano","Sí","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 21:40:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Ecológico","Toallitas","Lavanda","Sí","Multiusos","$15 - $20","Grande","No","Sería genial tener opciones sin fragancia."
"2024-01-31 21:45:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","Sí","Específico","$10 - $15","Mediano","Sí","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 21:50:00","Ocasionalmente","Dormitorio","Productos caseros","Fragancia, Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","No","Multiusos","$5 - $10","Pequeño","No","Me gustaría que el producto fuera biodegradable."
"2024-01-31 21:55:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Pino","Sí","Específico","$15 - $20","Grande","Sí","Sería genial si el producto tuviera una aplicación sin enjuague."
"Timestamp","Diariamente","Baño","Productos caseros","Naturalidad, Precio","Desinfectante, Ecológico","Toallitas","Frescura del océano","No","Multiusos","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 22:01:00","Semanalmente","Cocina","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","Sí","Específico","$10 - $15","Mediano","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 22:05:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","Sí","Multiusos","$15 - $20","Grande","No","Me gustaría un programa de fidelidad para clientes frecuentes."
"2024-01-31 22:10:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Cítricos","No","Específico","$5 - $10","Pequeño","Sí","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 22:15:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Aroma fresco","Rociador","Pino","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
"2024-01-31 22:20:00","Diariamente","Baño","Marca","Naturalidad, Precio","Ecológico, Aroma fresco","Toallitas","Frescura del océano","No","Multiusos","$15 - $20","Grande","No","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 22:25:00","Mensualmente","Sala","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Cítricos","Sí","Específico","$10 - $15","Mediano","No","Me gustaría que el producto tuviera una versión sin fragancia."
"2024-01-31 22:30:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Gel","Lavanda","Sí","Multiusos","$15 - $20","Grande","Sí","Sería genial si el producto tuviera una aplicación sin enjuague."
"2024-01-31 22:35:00","Semanalmente","Cocina","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Cítricos","Sí","Específico","$5 - $10","Pequeño","No","Me gustaría un envase con un diseño atractivo."
"2024-01-31 22:40:00","Diariamente","Baño","Otro","Precio","Desinfectante, Aroma fresco","Rociador","Frescura del océano","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 22:45:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Ecológico, Aroma fresco","Gel","Cítricos","Sí","Específico","$15 - $20","Grande","No","Sería genial tener opciones sin fragancia."
"2024-01-31 22:50:00","Ocasionalmente","Dormitorio","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Rociador","Pino","Sí","Multiusos","$5 - $10","Pequeño","No","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 22:55:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Toallitas","Cítricos","No","Específico","$10 - $15","Mediano","Sí","Me gustaría un envase con dispensador para facilitar su uso."
"2024-01-31 23:01:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Lavanda","No","Multiusos","$15 - $20","Grande","No","Me gustaría recibir muestras gratuitas antes del lanzamiento oficial."
"2024-01-31 23:05:00","Mensualmente","Sala","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","No","Específico","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy emocionado por probar el nuevo producto."
"2024-01-31 23:10:00","Ocasionalmente","Dormitorio","Marca","Eficiencia, Precio","Desinfectante, Ecológico","Rociador","Frescura del océano","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría recibir descuentos exclusivos como parte del lanzamiento."
"2024-01-31 23:15:00","Semanalmente","Cocina","Productos caseros","Naturalidad, Precio","Ecológico, Aroma fresco","Gel","Cítricos","Sí","Específico","$15 - $20","Grande","No","Me gustaría que el producto tuviera una aplicación sin enjuague."
"2024-01-31 23:20:00","Diariamente","Baño","Marca","Fragancia, Precio","Aroma fresco, Acción rápida","Toallitas","Lavanda","No","Multiusos","$5 - $10","Pequeño","Sí","Sería genial tener opciones sin fragancia."
"2024-01-31 23:25:00","Mensualmente","Sala","Marca","Eficiencia, Precio","Desinfectante, Aroma fresco","Gel","Pino","Sí","Específico","$10 - $15","Mediano","No","Me gustaría un producto con acción desinfectante y aroma cítrico."
"2024-01-31 23:30:00","Ocasionalmente","Dormitorio","Otro","Precio","Desinfectante, Ecológico","Rociador","Cítricos","Sí","Multiusos","$15 - $20","Grande","No","El envase debe ser fácil de abrir y cerrar."
"2024-01-31 23:35:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","No","Específico","$10 - $15","Mediano","No","Me gustaría un envase con un diseño atractivo."
"2024-01-31 23:40:00","Diariamente","Baño","Otro","Naturalidad, Precio","Desinfectante, Aroma fresco","Rociador","Pino","Sí","Multiusos","$5 - $10","Pequeño","Sí","Ninguna sugerencia adicional, estoy satisfecho con mi producto actual."
"2024-01-31 23:45:00","Mensualmente","Sala","Marca","Fragancia, Precio","Ecológico, Aroma fresco","Toallitas","Frescura del océano","Sí","Específico","$15 - $20","Grande","Sí","Me gustaría un producto con enfoque antibacteriano."
"2024-01-31 23:50:00","Ocasionalmente","Dormitorio","Productos caseros","Fragancia, Precio","Aroma fresco, Acción rápida","Gel","Cítricos","Sí","Multiusos","$10 - $15","Mediano","No","Me gustaría un envase con un diseño atractivo."
"2024-01-31 23:55:00","Semanalmente","Cocina","Marca","Naturalidad, Precio","Desinfectante, Ecológico","Rociador","Lavanda","Sí","Específico","$5 - $10","Pequeño","Sí","Me gustaría recibir información sobre el lanzamiento por correo electrónico."
